0:39,6:1,23:1,1:13,35:1,44:1,54:1,57:1,63:1,2:2174,3:0,103:1,188:1,1
0:50,10:1,23:1,1:13,34:1,48:1,52:1,57:1,63:1,2:0,3:0,76:1,188:1,1
0:38,8:1,17:1,1:9,30:1,40:1,54:1,57:1,63:1,2:0,3:0,103:1,188:1,1
0:53,8:1,25:1,1:7,34:1,40:1,52:1,61:1,63:1,2:0,3:0,103:1,188:1,1
0:28,8:1,23:1,1:13,34:1,43:1,51:1,61:1,62:1,2:0,3:0,103:1,187:1,1
0:37,8:1,18:1,1:14,34:1,48:1,51:1,57:1,62:1,2:0,3:0,103:1,188:1,1
0:49,8:1,26:1,1:5,33:1,50:1,54:1,61:1,62:1,2:0,3:0,79:1,180:1,1
0:52,10:1,17:1,1:9,34:1,48:1,52:1,57:1,63:1,2:0,3:0,108:1,188:1,0
0:31,8:1,18:1,1:14,35:1,43:1,54:1,57:1,62:1,2:14084,3:0,113:1,188:1,0
0:42,8:1,23:1,1:13,34:1,48:1,52:1,57:1,63:1,2:5178,3:0,103:1,188:1,0
0:37,8:1,15:1,1:10,34:1,48:1,52:1,61:1,63:1,2:0,3:0,142:1,188:1,0
0:30,6:1,23:1,1:13,34:1,43:1,52:1,60:1,63:1,2:0,3:0,103:1,170:1,0
0:23,8:1,23:1,1:13,35:1,44:1,56:1,57:1,62:1,2:0,3:0,93:1,188:1,1
0:32,8:1,13:1,1:12,35:1,37:1,54:1,61:1,63:1,2:0,3:0,113:1,188:1,1
0:40,8:1,21:1,1:11,34:1,41:1,52:1,60:1,63:1,2:0,3:0,103:1,171:1,0
0:34,8:1,28:1,1:4,34:1,38:1,52:1,58:1,63:1,2:0,3:0,108:1,174:1,1
0:25,10:1,17:1,1:9,35:1,47:1,56:1,57:1,63:1,2:0,3:0,98:1,188:1,1
0:32,8:1,17:1,1:9,35:1,49:1,53:1,57:1,63:1,2:0,3:0,103:1,188:1,1
0:38,8:1,25:1,1:7,34:1,37:1,52:1,57:1,63:1,2:0,3:0,113:1,188:1,1
0:43,10:1,18:1,1:14,30:1,48:1,53:1,57:1,62:1,2:0,3:0,108:1,188:1,0
0:40,8:1,24:1,1:16,34:1,43:1,52:1,57:1,63:1,2:0,3:0,123:1,188:1,0
0:54,8:1,17:1,1:9,32:1,50:1,53:1,61:1,62:1,2:0,3:0,83:1,188:1,1
0:35,12:1,26:1,1:5,34:1,47:1,52:1,61:1,63:1,2:0,3:0,103:1,188:1,1
0:43,8:1,25:1,1:7,34:1,38:1,52:1,57:1,63:1,2:0,3:2042,103:1,188:1,1
0:59,8:1,17:1,1:9,30:1,45:1,53:1,57:1,62:1,2:0,3:0,103:1,188:1,1
0:56,9:1,23:1,1:13,34:1,45:1,52:1,57:1,63:1,2:0,3:0,103:1,188:1,0
0:19,8:1,17:1,1:9,35:1,41:1,56:1,57:1,63:1,2:0,3:0,103:1,188:1,1
0:54,7:1,15:1,1:10,34:1,39:1,52:1,60:1,63:1,2:0,3:0,123:1,185:1,0
0:39,8:1,17:1,1:9,30:1,48:1,54:1,57:1,63:1,2:0,3:0,142:1,188:1,1
0:49,8:1,17:1,1:9,34:1,41:1,52:1,57:1,63:1,2:0,3:0,103:1,188:1,1
0:23,9:1,13:1,1:12,35:1,36:1,54:1,57:1,63:1,2:0,3:0,115:1,188:1,1
0:20,8:1,15:1,1:10,35:1,37:1,56:1,61:1,63:1,2:0,3:0,107:1,188:1,1
